"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 18 13:33:00 IST 2020","Sat Apr 18 13:33:06 IST 2020","5755","","To Test checkboxes","","To Test checkboxes","validate checkboxes page url","validate checkboxes page url",""
"skipped","Sat Apr 25 12:07:38 IST 2020","Sat Apr 25 12:07:38 IST 2020","0","","drop down test","","drop down test","select drop down value by text","select drop down value by text",""
"passed","Sat Apr 18 12:35:53 IST 2020","Sat Apr 18 12:35:59 IST 2020","6123","","blaze page elements handle","","blaze page elements handle","click on produc link","click on produc link",""
"passed","Mon May 04 07:56:32 IST 2020","Mon May 04 07:56:39 IST 2020","6917","","waitforexists examples","","waitforexists examples","waitforexist example","waitforexist example",""
"skipped","Sat Apr 25 12:07:38 IST 2020","Sat Apr 25 12:07:38 IST 2020","0","","drop down test","","drop down test","select drop down value by index","select drop down value by index",""
"passed","Sun May 10 09:29:02 IST 2020","Sun May 10 09:29:10 IST 2020","7976","","interaction with web elements","","interaction with web elements","enter value in a field","enter value in a field",""
"passed","Sat Apr 25 11:15:39 IST 2020","Sat Apr 25 11:15:46 IST 2020","7308","","drag and drop feature","","drag and drop feature","perform drag and drop","perform drag and drop",""
"passed","Sat Apr 18 08:35:27 IST 2020","Sat Apr 18 08:35:33 IST 2020","6018","","interaction with web elements","","interaction with web elements","get header value","get header value",""
"skipped","Sat Apr 25 12:45:20 IST 2020","Sat Apr 25 12:45:20 IST 2020","0","","alerts testing","","alerts testing","testing alerts - accept","testing alerts - accept",""
"passed","Sat Apr 18 12:35:53 IST 2020","Sat Apr 18 12:35:53 IST 2020","61","","blaze page elements handle","","blaze page elements handle","main heading enabled? ","main heading enabled? ",""
"passed","Sat Apr 18 11:57:51 IST 2020","Sat Apr 18 11:57:53 IST 2020","1847","","blaze page elements handle","","blaze page elements handle","get texts of all main links","get texts of all main links",""
"passed","Sun May 03 19:28:22 IST 2020","Sun May 03 19:28:35 IST 2020","12346","","waituntil examples","","waituntil examples","test wait until","test wait until",""
"passed","Mon May 04 07:56:32 IST 2020","Mon May 04 07:56:41 IST 2020","9349","","wait for enabled demo","","wait for enabled demo","wait for enabled test","wait for enabled test",""
"passed","Sat Apr 25 12:49:55 IST 2020","Sat Apr 25 12:49:59 IST 2020","3482","","alerts testing","","alerts testing","testing alerts - dismiss","testing alerts - dismiss",""
"passed","Sat Apr 25 12:49:59 IST 2020","Sat Apr 25 12:50:02 IST 2020","3594","","alerts testing","","alerts testing","testing alerts - enter text","testing alerts - enter text",""
"skipped","Sun May 03 18:22:45 IST 2020","Sun May 03 18:22:45 IST 2020","0","","waitforexists examples","","waitforexists examples","waitforexist example","waitforexist example",""
"passed","Sat Apr 18 15:01:47 IST 2020","Sat Apr 18 15:01:48 IST 2020","744","","handle application login","","handle application login","perform logout","perform logout",""
"skipped","Sat Apr 25 12:07:38 IST 2020","Sat Apr 25 12:07:38 IST 2020","0","","drop down test","","drop down test","select drop down value by attribute","select drop down value by attribute",""
"passed","Sat Apr 25 12:07:38 IST 2020","Sat Apr 25 12:07:45 IST 2020","7321","","drop down test","","drop down test","print all options of select","print all options of select",""
"passed","Sat Apr 18 12:35:53 IST 2020","Sat Apr 18 12:35:53 IST 2020","88","","blaze page elements handle","","blaze page elements handle","jmeter link displayed in viewPort? ","jmeter link displayed in viewPort? ",""
"passed","Sat Apr 25 12:29:31 IST 2020","Sat Apr 25 12:29:39 IST 2020","8469","","alerts testing","","alerts testing","testing alerts","testing alerts",""
"skipped","Sat Apr 18 19:07:09 IST 2020","Sat Apr 18 19:07:09 IST 2020","0","","page actions features","","page actions features","move to element","move to element",""
"passed","Sat Apr 25 11:54:56 IST 2020","Sat Apr 25 11:55:04 IST 2020","8595","","drop down test","","drop down test","select drop down value by text","select drop down value by text",""
"passed","Sat Apr 18 12:35:53 IST 2020","Sat Apr 18 12:35:53 IST 2020","107","","blaze page elements handle","","blaze page elements handle","main heading displayed in viewPort? ","main heading displayed in viewPort? ",""
"passed","Sat Apr 18 13:32:47 IST 2020","Sat Apr 18 13:33:00 IST 2020","12980","","To Test checkboxes","","To Test checkboxes","should click checkboxes","should click checkboxes",""
"passed","Sat Apr 18 13:32:36 IST 2020","Sat Apr 18 13:32:38 IST 2020","2605","","To Test checkboxes","","To Test checkboxes","check page url","check page url",""
"passed","Sat Apr 25 11:57:53 IST 2020","Sat Apr 25 11:58:02 IST 2020","8504","","drop down test","","drop down test","select drop down value by attribute","select drop down value by attribute",""
"passed","Sat Apr 18 08:41:36 IST 2020","Sat Apr 18 08:41:44 IST 2020","8639","","Home page elements handle","","Home page elements handle","verify home page elements","verify home page elements",""
"passed","Sat Apr 25 11:53:35 IST 2020","Sat Apr 25 11:53:44 IST 2020","8609","","drop down test","","drop down test","select drop down value ","select drop down value ",""
"passed","Mon May 04 07:56:39 IST 2020","Mon May 04 07:56:56 IST 2020","16971","","waitforexists examples","","waitforexists examples","hubspot example","hubspot example",""
"passed","Sat Apr 25 11:55:04 IST 2020","Sat Apr 25 11:55:11 IST 2020","7022","","drop down test","","drop down test","select drop down value by index","select drop down value by index",""
"passed","Sat Apr 25 12:50:02 IST 2020","Sat Apr 25 12:50:06 IST 2020","3608","","alerts testing","","alerts testing","Alert on rediff","Alert on rediff",""
"skipped","Sat Apr 25 12:45:20 IST 2020","Sat Apr 25 12:45:20 IST 2020","0","","alerts testing","","alerts testing","testing alerts - enter text","testing alerts - enter text",""
"passed","Sat Apr 18 13:32:38 IST 2020","Sat Apr 18 13:32:47 IST 2020","8756","","To Test checkboxes","","To Test checkboxes","validate checkbox page header","validate checkbox page header",""
"passed","Sat Apr 18 12:35:51 IST 2020","Sat Apr 18 12:35:53 IST 2020","1912","","blaze page elements handle","","blaze page elements handle","main heading displayed? ","main heading displayed? ",""
"passed","Sun May 10 09:29:11 IST 2020","Sun May 10 09:29:19 IST 2020","7802","","interaction with web elements","","interaction with web elements","click on a field","click on a field",""
"passed","Sat Apr 25 12:49:49 IST 2020","Sat Apr 25 12:49:55 IST 2020","6144","","alerts testing","","alerts testing","testing alerts - accept","testing alerts - accept",""
"passed","Sat Apr 18 15:01:35 IST 2020","Sat Apr 18 15:01:47 IST 2020","12431","","handle application login","","handle application login","perform login","perform login",""
"skipped","Sat Apr 18 12:35:51 IST 2020","Sat Apr 18 12:35:51 IST 2020","0","","blaze page elements handle","","blaze page elements handle","get texts of all main links","get texts of all main links",""
"passed","Sun May 10 09:29:10 IST 2020","Sun May 10 09:29:11 IST 2020","1020","","interaction with web elements","","interaction with web elements","get text of  a field","get text of  a field",""
"broken","Sat Apr 18 18:56:18 IST 2020","Sat Apr 18 18:56:59 IST 2020","40102","","page actions features","","page actions features","move to element","move to element",""
"skipped","Sat Apr 25 12:45:20 IST 2020","Sat Apr 25 12:45:20 IST 2020","0","","alerts testing","","alerts testing","testing alerts - dismiss","testing alerts - dismiss",""
"passed","Sat Apr 18 19:07:09 IST 2020","Sat Apr 18 19:07:22 IST 2020","12701","","page actions features","","page actions features","keys action peform","keys action peform",""
"passed","Sat Apr 18 12:35:53 IST 2020","Sat Apr 18 12:35:53 IST 2020","61","","blaze page elements handle","","blaze page elements handle","main heading exists? ","main heading exists? ",""
"passed","Sat Apr 25 11:36:43 IST 2020","Sat Apr 25 11:36:52 IST 2020","9288","","Scroll example","","Scroll example","Perform scroll","Perform scroll",""
